element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Na,0.560608312520376,2.0656959504334713,-0.5708825524379841,-1.0359364190044742,0.6997379428912578,0.44167202331776256,-1.3206334664914248,-0.8083410776903319,-1.683735947646069,0.10892796936952444,0.09624897229136083,0.6082852952905261,-0.4995526443722385,-0.4186467932022197,1.4488120466472687,1.883106041152064,0.12296330044810594,2.0846051821126768,0.43794273151695523,1.209310284174878,-0.34007254492883304,-0.45096635796409895,1.1557132330817328,-0.8489833341049022,0.9057038376529573,0.6686416318975796,2.015061428828973,-0.857881639365854,0.2398526918049721,2.1972205266340947,-1.4731239435195267,-0.24778711427201566,0.29811134606177314,-1.1082231247492358,0.5472313274942544,-0.42164829836589224,0.1580507956675276,0.4731765316330414,-0.3440885858124795,-0.10831872114308302
Mg,-0.10827150096530642,0.8417346575184572,-1.534490373569802,-0.01193637777256924,0.4015192235384682,0.6076200115968156,-0.9066391416825189,-1.4265815900115082,0.3307623530420628,0.8328179398828982,2.468980733502061,0.714269123842946,-0.20501047391664956,-2.8435115064401066,1.7251625378163535,0.07018031944764115,1.6309715417231632,-0.373352922439468,0.768118926867437,0.2582657236531993,2.71474136812766,-1.9023706233518656,-0.6161464410062554,0.04277283937144101,-0.09317121874400348,1.025768486904333,-0.9872845064757977,-0.8612741878776693,1.0779772832110255,-0.19969171423225107,0.5558105751063813,-0.6973381923378814,-1.1621020379141125,1.1683769849394101,-0.6363927853547324,0.15311621042391926,-0.5581358993862773,-0.736489627750576,0.5134021244249705,-0.14700346889000246
Al,0.29425451361693566,-0.32330090468130485,-0.657881811518181,-0.22966864579097246,2.463702118594132,0.24929203581711992,-0.05135129242400478,1.017756166559117,0.449158750245286,-1.5045032758417125,-1.2952688053729284,0.12772276729951001,-2.5033040019422135,0.020785537185583056,2.11053907766681,-1.0740150604154917,1.6776935293824256,1.414721643444687,-0.43520128214459475,-0.3979281897935322,0.239412938226932,-0.7353080097884238,0.1392188549660888,0.8513160346131592,1.6638203574405668,1.476655028761543,0.34249173351393325,1.727715874177747,-0.3732611534085898,-0.5788575895860008,-0.36074706520352384,-0.13148750477871313,0.5507055891669178,0.5708498062907351,0.8969285898115587,-0.1550379812415086,0.9694807653475876,0.43218496201619067,0.6442481340238323,-0.20494898712941567
Si,0.451935236488403,-0.8278916055806576,-0.42395996580949713,0.5740392036047461,2.398003113785659,-0.20962471061777724,0.41862610448311965,-0.654464686368282,-0.27023352142700374,0.5944748305103759,1.4959344615220596,-0.12276926753285844,-2.7447602737642893,-0.5616714571283499,-1.1160555823153653,0.48224361974382385,1.0689838969529124,0.2195198587496976,1.5491836169231037,0.675234189738798,-0.23207889767434942,0.6350219338041165,-0.5054488233738532,1.9109985517606223,-1.024957279559537,1.132885809718984,0.8177822075961565,0.5554901129422976,-0.8297036832536374,0.33602788321548677,-1.449801283457978,0.47076272197031616,0.5540175226366665,0.2685800822009477,-0.5160441653153386,0.12747399576559634,0.4082058705457165,-0.5165449028142944,0.007063703007947976,0.9814477131594925
P,1.3382670909013905,-0.6312848078583028,0.06540327033117059,1.2285825875244392,1.3859731799388475,-0.31545206722397995,-0.44670353365727444,-0.10677485147813744,-2.770330183074016,-0.16425236138275776,0.43339114153228947,0.612718649405254,1.888733523164371,-1.8498454530353325,1.2277509995069213,-2.192397125561173,-0.022941364622706815,-0.17513441127910603,-0.18861441428895992,-0.18475450356889125,-1.2309534049365554,0.40406107207916336,-0.32537529681530813,0.13484922866376658,-0.3985931164522705,1.0816596855230318,-0.8812407744400308,0.5005159735459134,-0.1558014447799123,-1.1018506078299115,-0.26416334769993377,-0.17423290154659357,-0.30441454772281357,-0.05144601720682349,-0.6710733874206899,-0.6288615449141938,0.4863803394927583,0.8536656980078453,0.3033648651807973,-0.22305568848440446
S,2.0758672160490597,-0.09333191973635707,-0.016276049029503276,1.3716056272881627,0.1166629463312913,-0.057761661424364556,0.05659612845403746,0.471349845062767,0.4961986492068266,0.1104343219837646,0.3040403805519892,1.8027140749937431,-0.12489047221895763,-3.409313007649114,0.08712725307955708,-0.05495749807440724,2.225608060873862,-0.18705617048313097,-2.1038762183477235,0.9907397967149736,-1.5490989381603801,2.22593899217917,0.050840759328559665,0.21493705339223224,0.10632678928935879,0.9711108574435262,0.6240768634782728,0.20868925780467157,-1.670467827793343,-0.39709122952792003,-0.38027395553254006,0.38208757172022734,0.16856256590670887,-0.4156760373535903,1.2634955349882957,1.0603529106549328,-0.3597630589478937,-0.48860677704767685,-0.8112346868705934,-0.013874504839748265
Cl,2.162746456253639,1.5345362377732177,-0.205148440681657,1.1774834170458457,-1.243577041117578,-0.007647521484966514,1.6489641922303406,0.5206002772273151,-0.4166363713280596,-0.8577392434367521,1.208182484939314,1.47144775376428,-2.0575010852794144,0.5226935173335423,1.2029111402380435,0.05511681590061777,-0.44703758944824573,1.4602232008809712,1.0072132001264473,0.02349031550727722,0.9801795651093953,1.4038583242244167,0.33351243796454,1.2551972973857688,-1.449672675170049,0.33271374879858345,-0.29055263462608144,0.20626328132202526,1.4592683211119477,-0.28995196365575043,-0.7007857745285814,0.3114854698497134,0.143782005436791,0.08247542777547054,-0.7207977716485389,-1.295235959419209,0.6507586723250327,-0.7572191707625122,0.2869602252436997,-0.64157250861633
Ar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.9836871235685983,2.302654307140192,-0.33081252311357007,-1.5392806780386024,-0.6087093191415865,-0.03824044984951441,0.09508719809794319,-1.0807749879728603,-0.43614383749007757,0.8254898565820041,-0.7565523272000417,-1.2306753802293808,1.0339818126795155,0.06665051860314904,-0.18689915831898596,0.7556726586531075,1.221807408617453,-0.1495482447200931,-0.32904676419373985,-1.4213577415237109,-0.03248712211235416,-1.3208093184248337,-0.010707133126747594,0.5751770038022858,-0.5278174706111325,-0.03441807456342015,-0.38740701641559205,1.8010843916653911,0.08980719885505757,-1.1955486395505206,0.4657428894617753,3.1111364266979455,1.5498711239239582,-0.15230710861081756,0.9479622113764102,-0.9892951196293721,-0.16824134801006635,-1.0155051164462874,-0.191181001890797,-0.4594481995050983
Ca,-0.4880973109014957,1.4914815325749962,-0.5526595115020352,-0.8516825249410749,0.9731829733268866,0.3433331290557229,0.9918868772046672,-0.42951616064730364,1.1341694051243751,1.7060052894032154,0.7865082377868744,1.2319552227227721,1.0534910597334026,-0.8793937504501044,-0.029822590965277354,-0.8755532279993465,-0.5244404090717847,0.3748819890572916,-1.8725408715837348,-1.012640246117871,-0.7731217028325565,-0.18246343273830123,-0.2886619298696144,0.48934986009378917,0.5555380817898119,-2.383155865782794,0.9763809605444269,0.5291552454329642,0.9509611696509574,0.5847544382259545,-0.8458961612802935,-0.8594507306436577,-0.7802230263384925,1.4338895039966875,1.001850723270075,0.9843375656912355,-0.07091037126550158,0.2704402329537337,0.2917639935563105,-0.5227109730200107
